@relation 90_dados_treino

@attribute 'Customer ID' numeric
@attribute Recency numeric
@attribute Frequency numeric
@attribute MonetaryValue numeric
@attribute Recency_score {1,2,3,4,5}
@attribute Frequency_score {1,2,3,4,5}
@attribute Monetary_score {1,2,3,4,5}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5}
@attribute ChurnRisk_description {'Muito Baixo Risco', 'Baixo Risco','Médio Risco','Alto Risco','Muito Alto Risco'}

@data
15990,39,7,2010.05,4,4,4,cluster1,'Muito Baixo Risco'
15664,46,4,1254.03,4,3,4,cluster5,'Baixo Risco'
16939,484,3,449,1,3,2,cluster3,'Alto Risco'
13561,211,11,1820.72,2,5,4,cluster2,'Baixo Risco'
16283,1,8,4403.82,5,4,5,cluster1,'Muito Baixo Risco'
17373,35,7,1167.5,4,4,3,cluster1,'Baixo Risco'
18069,21,11,4540.56,4,5,5,cluster1,'Muito Baixo Risco'
14798,48,8,724.31,4,4,3,cluster1,'Baixo Risco'
12598,5,11,4534.09,5,5,5,cluster1,'Muito Baixo Risco'
13010,369,2,330.12,2,2,2,cluster3,'Alto Risco'
15219,171,2,685.45,3,2,3,cluster4,'Médio Risco'
14131,644,1,187.87,1,1,1,cluster3,'Muito Alto Risco'
16511,17,6,1819.02,5,4,4,cluster1,'Muito Baixo Risco'
16037,265,5,1509.34,2,4,4,cluster2,'Baixo Risco'
13018,11,35,9763.16,5,5,5,cluster1,'Muito Baixo Risco'
17305,644,1,2135.46,1,1,4,cluster3,'Alto Risco'
16521,411,3,1148.01,1,3,3,cluster3,'Alto Risco'
16519,20,4,556.26,4,3,2,cluster5,'Baixo Risco'
17359,6,2,284.46,5,2,1,cluster4,'Baixo Risco'
16731,643,1,174.05,1,1,1,cluster3,'Muito Alto Risco'
14257,59,9,5954.45,4,5,5,cluster1,'Muito Baixo Risco'
15603,74,2,88.48,3,2,1,cluster4,'Médio Risco'
17116,643,1,389.78,1,1,2,cluster3,'Alto Risco'
13911,52,20,4234.99,4,5,5,cluster1,'Muito Baixo Risco'
17330,18,4,423.8,5,3,2,cluster5,'Baixo Risco'
12731,19,17,25775.71,5,5,5,cluster1,'Muito Baixo Risco'
16946,378,5,1222.04,2,4,3,cluster2,'Médio Risco'
17477,608,2,1144.3,1,2,3,cluster3,'Alto Risco'
13797,432,3,1179.45,1,3,3,cluster3,'Alto Risco'
13126,40,12,3628.81,4,5,5,cluster1,'Muito Baixo Risco'
14818,69,6,1170.41,3,4,3,cluster2,'Baixo Risco'
15927,642,1,123.39,1,1,1,cluster3,'Muito Alto Risco'
16960,34,8,2043.43,4,4,4,cluster1,'Muito Baixo Risco'
12525,493,3,973.73,1,3,3,cluster3,'Alto Risco'
16177,46,8,2247.31,4,4,4,cluster1,'Muito Baixo Risco'
12809,173,3,1755.94,3,3,4,cluster5,'Baixo Risco'
15606,56,17,5230.99,4,5,5,cluster1,'Muito Baixo Risco'
13593,103,14,5523.69,3,5,5,cluster2,'Baixo Risco'
16520,181,6,2482.62,3,4,4,cluster2,'Baixo Risco'
13793,642,1,96,1,1,1,cluster3,'Muito Alto Risco'
13663,174,5,2047.51,3,4,4,cluster2,'Baixo Risco'
16947,231,5,955.21,2,4,3,cluster2,'Médio Risco'
16099,46,7,1573.2,4,4,4,cluster1,'Muito Baixo Risco'
18148,642,1,114.1,1,1,1,cluster3,'Muito Alto Risco'
17020,538,2,935.62,1,2,3,cluster3,'Alto Risco'
13873,115,8,1038.92,3,4,3,cluster2,'Baixo Risco'
13294,185,3,1689.53,3,3,4,cluster5,'Baixo Risco'
12594,33,15,5090.11,4,5,5,cluster1,'Muito Baixo Risco'
16461,173,3,1615.22,3,3,4,cluster5,'Baixo Risco'
16636,434,4,3802.04,1,3,5,cluster3,'Médio Risco'
13214,413,7,3264.23,1,4,5,cluster2,'Médio Risco'
13722,127,10,5635.41,3,5,5,cluster2,'Baixo Risco'
13595,512,3,818.22,1,3,3,cluster3,'Alto Risco'
14142,368,2,983.15,2,2,3,cluster3,'Médio Risco'
18152,641,1,426.69,1,1,2,cluster3,'Alto Risco'
16285,641,1,176.9,1,1,1,cluster3,'Muito Alto Risco'
14157,15,5,1002.78,5,4,3,cluster1,'Muito Baixo Risco'
15875,641,1,111.72,1,1,1,cluster3,'Muito Alto Risco'
13835,20,7,1095.27,4,4,3,cluster1,'Baixo Risco'
13377,392,2,1552.88,2,2,4,cluster3,'Médio Risco'
17049,16,18,9551.48,5,5,5,cluster1,'Muito Baixo Risco'
15622,38,17,7852.61,4,5,5,cluster1,'Muito Baixo Risco'
17930,31,13,4275.22,4,5,5,cluster1,'Muito Baixo Risco'
15084,375,2,965.2,2,2,3,cluster3,'Médio Risco'
14097,476,2,422.86,1,2,2,cluster3,'Alto Risco'
18151,130,6,1879.44,3,4,4,cluster2,'Baixo Risco'
13879,641,1,395.5,1,1,2,cluster3,'Alto Risco'
17663,21,17,5175.83,4,5,5,cluster1,'Muito Baixo Risco'
16859,140,7,1932.41,3,4,4,cluster2,'Baixo Risco'
18272,41,8,4018.1,4,4,5,cluster1,'Muito Baixo Risco'
17847,511,2,129.69,1,2,1,cluster3,'Alto Risco'
14018,640,1,367.15,1,1,2,cluster3,'Alto Risco'
14426,19,17,11727.94,5,5,5,cluster1,'Muito Baixo Risco'
13881,6,42,44609.98,5,5,5,cluster1,'Muito Baixo Risco'
17159,17,5,2099.59,5,4,4,cluster1,'Muito Baixo Risco'
16096,259,4,1584.97,2,3,4,cluster5,'Médio Risco'
14748,24,10,3152.32,4,5,5,cluster1,'Muito Baixo Risco'
15030,67,8,1979.91,3,4,4,cluster2,'Baixo Risco'
17448,492,46,14556.97,1,5,5,cluster2,'Médio Risco'
12371,40,5,4067.38,4,4,5,cluster1,'Muito Baixo Risco'
17718,227,2,439.18,2,2,2,cluster3,'Alto Risco'
12399,115,7,1962.3,3,4,4,cluster2,'Baixo Risco'
13280,118,7,2322.63,3,4,4,cluster2,'Baixo Risco'
12568,640,1,70,1,1,1,cluster3,'Muito Alto Risco'
13476,174,5,2061.47,3,4,4,cluster2,'Baixo Risco'
12497,77,3,6248.5,3,3,5,cluster5,'Baixo Risco'
18226,39,26,11878.88,4,5,5,cluster1,'Muito Baixo Risco'
14957,248,2,333.29,2,2,2,cluster3,'Alto Risco'
14186,422,5,1550.63,1,4,4,cluster2,'Médio Risco'
13544,35,6,829,4,4,3,cluster1,'Baixo Risco'
13515,68,6,1265.82,3,4,4,cluster2,'Baixo Risco'
15094,458,2,83,1,2,1,cluster3,'Alto Risco'
17190,54,7,1743.04,4,4,4,cluster1,'Muito Baixo Risco'
17006,13,7,1389.26,5,4,4,cluster1,'Muito Baixo Risco'
15630,40,3,1481.4,4,3,4,cluster5,'Baixo Risco'
15978,72,3,3279.42,3,3,5,cluster5,'Baixo Risco'
14852,53,18,6147.18,4,5,5,cluster1,'Muito Baixo Risco'
15929,639,1,594,1,1,2,cluster3,'Alto Risco'
14233,44,7,2904.27,4,4,4,cluster1,'Muito Baixo Risco'
13799,112,9,2803.57,3,5,4,cluster2,'Baixo Risco'
16331,427,6,2037.7,1,4,4,cluster2,'Médio Risco'
14172,600,3,402.72,1,3,2,cluster3,'Alto Risco'
13201,497,4,1240.61,1,3,4,cluster3,'Médio Risco'
13508,239,2,287.05,2,2,2,cluster3,'Alto Risco'
16271,11,9,3448.02,5,5,5,cluster1,'Muito Baixo Risco'
15443,8,13,4796.42,5,5,5,cluster1,'Muito Baixo Risco'
14205,12,9,2414.2,5,5,4,cluster1,'Muito Baixo Risco'
14877,414,2,437,1,2,2,cluster3,'Alto Risco'
18253,638,1,317.88,1,1,2,cluster3,'Alto Risco'
13764,66,6,2953.26,3,4,5,cluster2,'Baixo Risco'
17236,8,12,1929.26,5,5,4,cluster1,'Muito Baixo Risco'
17589,55,18,14049.87,4,5,5,cluster1,'Muito Baixo Risco'
17734,49,6,1442.32,4,4,4,cluster1,'Muito Baixo Risco'
13276,59,5,1939.26,4,4,4,cluster1,'Muito Baixo Risco'
16466,29,15,3838.59,4,5,5,cluster1,'Muito Baixo Risco'
12530,55,9,3759.26,4,5,5,cluster1,'Muito Baixo Risco'
15631,637,1,596.67,1,1,2,cluster3,'Alto Risco'
18029,637,1,433.77,1,1,2,cluster3,'Alto Risco'
16984,83,9,10754.8,3,5,5,cluster2,'Baixo Risco'
16310,409,2,460.08,1,2,2,cluster3,'Alto Risco'
16534,637,1,635.9,1,1,3,cluster3,'Alto Risco'
17158,27,5,1980,4,4,4,cluster1,'Muito Baixo Risco'
12369,409,3,1791.15,1,3,4,cluster3,'Médio Risco'
14493,2,10,5130.15,5,5,5,cluster1,'Muito Baixo Risco'
15847,33,5,822.57,4,4,3,cluster1,'Baixo Risco'
17298,96,5,957.56,3,4,3,cluster2,'Baixo Risco'
15791,39,5,3608.34,4,4,5,cluster1,'Muito Baixo Risco'
12765,467,6,1404.58,1,4,4,cluster2,'Médio Risco'
17682,5,11,4456.78,5,5,5,cluster1,'Muito Baixo Risco'
12825,516,2,518.63,1,2,2,cluster3,'Alto Risco'
17325,276,3,609.57,2,3,2,cluster5,'Médio Risco'
16754,367,29,67502.47,2,5,5,cluster2,'Baixo Risco'
13157,44,9,5687.36,4,5,5,cluster1,'Muito Baixo Risco'
17542,265,3,341.7,2,3,2,cluster5,'Médio Risco'
17857,12,22,25702.64,5,5,5,cluster1,'Muito Baixo Risco'
12514,262,2,1597.76,2,2,4,cluster3,'Médio Risco'
17960,166,3,135.08,3,3,1,cluster5,'Médio Risco'
16628,25,7,2318.1,4,4,4,cluster1,'Muito Baixo Risco'
17289,27,9,2079.39,4,5,4,cluster1,'Muito Baixo Risco'
17025,56,5,1510.64,4,4,4,cluster1,'Muito Baixo Risco'
16537,636,1,23.35,1,1,1,cluster3,'Muito Alto Risco'
17488,636,1,336.5,1,1,2,cluster3,'Alto Risco'
16681,68,7,1921.84,3,4,4,cluster2,'Baixo Risco'
13454,636,1,219.87,1,1,1,cluster3,'Muito Alto Risco'
16275,192,3,2151.11,3,3,4,cluster5,'Baixo Risco'
16568,423,2,1020.9,1,2,3,cluster3,'Alto Risco'
18245,2,20,6324.98,5,5,5,cluster1,'Muito Baixo Risco'
17002,81,7,2571.55,3,4,4,cluster2,'Baixo Risco'
17438,249,5,1422.77,2,4,4,cluster2,'Baixo Risco'
15250,636,1,60,1,1,1,cluster3,'Muito Alto Risco'
16182,67,9,9971.65,3,5,5,cluster2,'Baixo Risco'
17266,143,3,320.15,3,3,2,cluster5,'Médio Risco'
15437,258,2,393.45,2,2,2,cluster3,'Alto Risco'
12495,636,1,357.4,1,1,2,cluster3,'Alto Risco'
15921,168,4,802.11,3,3,3,cluster5,'Médio Risco'
18039,370,4,579.17,2,3,2,cluster5,'Médio Risco'
17907,636,1,291.76,1,1,2,cluster3,'Alto Risco'
14147,73,9,2590.2,3,5,4,cluster2,'Baixo Risco'
13627,54,7,2245.9,4,4,4,cluster1,'Muito Baixo Risco'
16854,412,2,1408.96,1,2,4,cluster3,'Alto Risco'
13283,55,4,373.36,4,3,2,cluster5,'Baixo Risco'
15722,31,11,5258.1,4,5,5,cluster1,'Muito Baixo Risco'
16707,395,4,551.11,2,3,2,cluster5,'Médio Risco'
16756,210,7,1312.37,2,4,4,cluster2,'Baixo Risco'
12542,479,2,481.88,1,2,2,cluster3,'Alto Risco'
14676,26,12,8356.79,4,5,5,cluster1,'Muito Baixo Risco'
13316,32,10,13191.57,4,5,5,cluster1,'Muito Baixo Risco'
12638,29,2,921.49,4,2,3,cluster4,'Baixo Risco'
13484,236,3,790.72,2,3,3,cluster5,'Médio Risco'
16846,45,3,842.41,4,3,3,cluster5,'Baixo Risco'
17348,10,9,2476.41,5,5,4,cluster1,'Muito Baixo Risco'
13566,36,5,1708.12,4,4,4,cluster1,'Muito Baixo Risco'
14924,241,3,931.01,2,3,3,cluster5,'Médio Risco'
14403,126,6,1880.51,3,4,4,cluster2,'Baixo Risco'
16258,40,15,11942.52,4,5,5,cluster1,'Muito Baixo Risco'
13305,17,15,3541.55,5,5,5,cluster1,'Muito Baixo Risco'
15558,634,1,214.13,1,1,1,cluster3,'Muito Alto Risco'
16611,181,6,1785.13,3,4,4,cluster2,'Baixo Risco'
17338,12,17,12142.57,5,5,5,cluster1,'Muito Baixo Risco'
14060,18,29,9221.6,5,5,5,cluster1,'Muito Baixo Risco'
12954,634,1,162.45,1,1,1,cluster3,'Muito Alto Risco'
16387,318,5,918.55,2,4,3,cluster2,'Médio Risco'
13715,276,17,8483.29,2,5,5,cluster2,'Baixo Risco'
14745,108,12,2571.81,3,5,4,cluster2,'Baixo Risco'
15221,362,4,2465.45,2,3,4,cluster5,'Médio Risco'
15008,476,2,360,1,2,2,cluster3,'Alto Risco'
17065,633,2,194.7,1,2,1,cluster3,'Alto Risco'
17228,11,13,3177.24,5,5,5,cluster1,'Muito Baixo Risco'
17588,95,7,2939.55,3,4,5,cluster2,'Baixo Risco'
16347,7,11,3509.41,5,5,5,cluster1,'Muito Baixo Risco'
13795,383,4,836.3,2,3,3,cluster5,'Médio Risco'
14824,5,10,4022.91,5,5,5,cluster1,'Muito Baixo Risco'
12692,632,1,110.95,1,1,1,cluster3,'Muito Alto Risco'
15941,632,1,405,1,1,2,cluster3,'Alto Risco'
13824,28,12,3314.76,4,5,5,cluster1,'Muito Baixo Risco'
13724,632,1,213.01,1,1,1,cluster3,'Muito Alto Risco'
13573,45,6,916.47,4,4,3,cluster1,'Baixo Risco'
16586,244,3,1462.78,2,3,4,cluster5,'Médio Risco'
15994,50,3,1202.18,4,3,3,cluster5,'Baixo Risco'
13183,3,15,7036.18,5,5,5,cluster1,'Muito Baixo Risco'
18149,46,7,1624.71,4,4,4,cluster1,'Muito Baixo Risco'
13688,630,1,375.5,1,1,2,cluster3,'Alto Risco'
15665,163,5,4015.12,3,4,5,cluster2,'Baixo Risco'
17849,213,8,1063.76,2,4,3,cluster2,'Médio Risco'
14857,55,7,3651.851,4,4,5,cluster1,'Muito Baixo Risco'
14645,152,3,876.89,3,3,3,cluster5,'Médio Risco'
14315,40,8,3197.82,4,4,5,cluster1,'Muito Baixo Risco'
15117,10,8,2485.97,5,4,4,cluster1,'Muito Baixo Risco'
18135,24,10,1249.62,4,5,4,cluster1,'Muito Baixo Risco'
13530,629,1,402.98,1,1,2,cluster3,'Alto Risco'
14534,13,25,6140.29,5,5,5,cluster1,'Muito Baixo Risco'
16242,3,14,7474.4,5,5,5,cluster1,'Muito Baixo Risco'
14195,197,6,2615.6,2,4,4,cluster2,'Baixo Risco'
13600,307,2,518.42,2,2,2,cluster3,'Alto Risco'
15227,32,9,2488.49,4,5,4,cluster1,'Muito Baixo Risco'
15123,3,5,4656.17,5,4,5,cluster1,'Muito Baixo Risco'
12366,629,1,500.24,1,1,2,cluster3,'Alto Risco'
15946,498,3,2304.18,1,3,4,cluster3,'Médio Risco'
14873,205,2,854.13,2,2,3,cluster3,'Médio Risco'
14604,629,1,143.86,1,1,1,cluster3,'Muito Alto Risco'
18063,386,2,186.6,2,2,1,cluster3,'Alto Risco'
14496,307,7,2668.23,2,4,4,cluster2,'Baixo Risco'
12701,75,6,2446.41,3,4,4,cluster2,'Baixo Risco'
17478,403,2,1272.8,2,2,4,cluster3,'Médio Risco'
14872,479,3,816.6,1,3,3,cluster3,'Alto Risco'
17568,628,1,382.79,1,1,2,cluster3,'Alto Risco'
17479,628,1,389.26,1,1,2,cluster3,'Alto Risco'
16652,54,16,17550.39,4,5,5,cluster1,'Muito Baixo Risco'
13612,628,1,818.29,1,1,3,cluster3,'Alto Risco'
16777,75,5,1307.76,3,4,4,cluster2,'Baixo Risco'
13275,379,2,241.66,2,2,1,cluster3,'Alto Risco'
18196,90,4,1464.31,3,3,4,cluster5,'Baixo Risco'
17933,627,1,114.69,1,1,1,cluster3,'Muito Alto Risco'
16917,272,2,1857.83,2,2,4,cluster3,'Médio Risco'
13371,500,2,2297.66,1,2,4,cluster3,'Alto Risco'
16254,373,3,985.14,2,3,3,cluster5,'Médio Risco'
13406,422,2,568.92,1,2,2,cluster3,'Alto Risco'
15775,241,2,150.5,2,2,1,cluster3,'Alto Risco'
16336,416,4,3517.69,1,3,5,cluster3,'Médio Risco'
18131,627,1,222.96,1,1,1,cluster3,'Muito Alto Risco'
16571,22,10,4248.74,4,5,5,cluster1,'Muito Baixo Risco'
18187,627,1,724.89,1,1,3,cluster3,'Alto Risco'
14427,45,4,1263.52,4,3,4,cluster5,'Baixo Risco'
16977,390,4,496,2,3,2,cluster5,'Médio Risco'
15819,44,10,3934.79,4,5,5,cluster1,'Muito Baixo Risco'
14651,62,9,2034.12,3,5,4,cluster2,'Baixo Risco'
15918,186,3,582.88,3,3,2,cluster5,'Médio Risco'
14400,144,3,1732.47,3,3,4,cluster5,'Baixo Risco'
13057,525,3,722.09,1,3,3,cluster3,'Alto Risco'
15461,456,2,429.7,1,2,2,cluster3,'Alto Risco'
16385,56,5,1030.61,4,4,3,cluster1,'Baixo Risco'
13243,199,5,1278.04,2,4,4,cluster2,'Baixo Risco'
15496,626,1,146.14,1,1,1,cluster3,'Muito Alto Risco'
12615,32,7,5318.13,4,4,5,cluster1,'Muito Baixo Risco'
16303,21,7,7928.27,4,4,5,cluster1,'Muito Baixo Risco'
16108,80,4,2235.92,3,3,4,cluster5,'Baixo Risco'
17349,174,5,852.25,3,4,3,cluster2,'Baixo Risco'
13128,626,1,263.5,1,1,1,cluster3,'Muito Alto Risco'
18247,410,3,839.73,1,3,3,cluster3,'Alto Risco'
16668,10,13,862.42,5,5,3,cluster1,'Muito Baixo Risco'
16199,388,7,942.75,2,4,3,cluster2,'Médio Risco'
13230,24,29,5963.52,4,5,5,cluster1,'Muito Baixo Risco'
13150,480,3,449.97,1,3,2,cluster3,'Alto Risco'
17838,22,13,6722.9,4,5,5,cluster1,'Muito Baixo Risco'
17738,14,13,4183.56,5,5,5,cluster1,'Muito Baixo Risco'
16716,262,3,2149.68,2,3,4,cluster5,'Médio Risco'
16008,19,15,5384.13,5,5,5,cluster1,'Muito Baixo Risco'
14292,3,16,9226.25,5,5,5,cluster1,'Muito Baixo Risco'
15760,626,2,13916.34,1,2,5,cluster3,'Médio Risco'
14851,18,3,829.41,5,3,3,cluster5,'Baixo Risco'
16508,625,1,248.8,1,1,1,cluster3,'Muito Alto Risco'
17673,62,12,4121.11,3,5,5,cluster2,'Baixo Risco'
12418,108,4,2021.2,3,3,4,cluster5,'Baixo Risco'
14832,625,1,322.69,1,1,2,cluster3,'Alto Risco'
14316,417,5,1370.34,1,4,4,cluster2,'Médio Risco'
12908,171,5,1776,3,4,4,cluster2,'Baixo Risco'
15650,517,2,553.88,1,2,2,cluster3,'Alto Risco'
18085,325,4,1645.75,2,3,4,cluster5,'Médio Risco'
17133,11,12,14622.33,5,5,5,cluster1,'Muito Baixo Risco'
17472,186,4,935.1,3,3,3,cluster5,'Médio Risco'
13466,179,5,1013.35,3,4,3,cluster2,'Baixo Risco'
17587,623,1,181.66,1,1,1,cluster3,'Muito Alto Risco'
17051,189,4,714.39,3,3,3,cluster5,'Médio Risco'
16039,419,2,456.4,1,2,2,cluster3,'Alto Risco'
16397,623,1,127.88,1,1,1,cluster3,'Muito Alto Risco'
12796,623,1,381,1,1,2,cluster3,'Alto Risco'
18078,212,4,844.6,2,3,3,cluster5,'Médio Risco'
12368,623,1,917.7,1,1,3,cluster3,'Alto Risco'
13451,21,11,7190.92,4,5,5,cluster1,'Muito Baixo Risco'
12639,234,3,1312.37,2,3,4,cluster5,'Médio Risco'
14928,623,1,223.91,1,1,1,cluster3,'Muito Alto Risco'
17552,55,12,3085.29,4,5,5,cluster1,'Muito Baixo Risco'
16132,539,2,664.2,1,2,3,cluster3,'Alto Risco'
13151,291,3,2580.74,2,3,4,cluster5,'Médio Risco'
13482,227,2,336.09,2,2,2,cluster3,'Alto Risco'
14175,55,8,7678.88,4,4,5,cluster1,'Muito Baixo Risco'
14817,195,7,3959.86,2,4,5,cluster2,'Baixo Risco'
13357,252,5,3838.36,2,4,5,cluster2,'Baixo Risco'
14355,361,3,1014.45,2,3,3,cluster5,'Médio Risco'
14464,563,2,111,1,2,1,cluster3,'Alto Risco'
16441,62,5,1034.43,3,4,3,cluster2,'Baixo Risco'
17640,82,6,3168.94,3,4,5,cluster2,'Baixo Risco'
13706,298,2,631.17,2,2,3,cluster3,'Médio Risco'
15614,433,4,3147.36,1,3,5,cluster3,'Médio Risco'
14596,622,1,229.47,1,1,1,cluster3,'Muito Alto Risco'
15105,13,9,3094.91,5,5,5,cluster1,'Muito Baixo Risco'
16970,621,1,71.4,1,1,1,cluster3,'Muito Alto Risco'
14166,500,2,256.85,1,2,1,cluster3,'Alto Risco'
16578,621,1,156.6,1,1,1,cluster3,'Muito Alto Risco'
16615,621,1,291.5,1,1,2,cluster3,'Alto Risco'
12918,621,1,10953.5,1,1,5,cluster3,'Alto Risco'
13445,621,1,241.9,1,1,1,cluster3,'Muito Alto Risco'
14762,259,2,417.57,2,2,2,cluster3,'Alto Risco'
14344,122,20,3333.7,3,5,5,cluster2,'Baixo Risco'
15869,272,3,323.66,2,3,2,cluster5,'Médio Risco'
13896,621,1,388.55,1,1,2,cluster3,'Alto Risco'
18189,73,3,1403.73,3,3,4,cluster5,'Baixo Risco'
13252,389,2,399.3,2,2,2,cluster3,'Alto Risco'
16077,621,1,2300.4,1,1,4,cluster3,'Alto Risco'
13988,15,8,4757.8,5,4,5,cluster1,'Muito Baixo Risco'
12742,621,1,1201.52,1,1,3,cluster3,'Alto Risco'
16002,621,1,169.21,1,1,1,cluster3,'Muito Alto Risco'
14729,369,3,907.38,2,3,3,cluster5,'Médio Risco'
15086,560,2,218.53,1,2,1,cluster3,'Alto Risco'
16444,41,17,3656.58,4,5,5,cluster1,'Muito Baixo Risco'
14026,466,2,713.11,1,2,3,cluster3,'Alto Risco'
15447,326,5,492.88,2,4,2,cluster2,'Médio Risco'
16741,620,1,173.06,1,1,1,cluster3,'Muito Alto Risco'
17072,620,1,282.05,1,1,1,cluster3,'Muito Alto Risco'
14202,376,3,847.76,2,3,3,cluster5,'Médio Risco'
14947,67,6,1049.79,3,4,3,cluster2,'Baixo Risco'
15374,124,2,307.32,3,2,2,cluster4,'Médio Risco'
13849,47,5,3469.3,4,4,5,cluster1,'Muito Baixo Risco'
17001,17,18,6233.12,5,5,5,cluster1,'Muito Baixo Risco'
17353,124,4,3242,3,3,5,cluster5,'Baixo Risco'
16090,620,1,205.91,1,1,1,cluster3,'Muito Alto Risco'
13969,2,35,13365.87,5,5,5,cluster1,'Muito Baixo Risco'
17301,16,2,330.43,5,2,2,cluster4,'Baixo Risco'
16943,207,5,1299.49,2,4,4,cluster2,'Baixo Risco'
13900,178,6,1610.59,3,4,4,cluster2,'Baixo Risco'
13285,18,6,3364.59,5,4,5,cluster1,'Muito Baixo Risco'
12870,370,3,1676.95,2,3,4,cluster5,'Médio Risco'
15027,26,10,3195.6,4,5,5,cluster1,'Muito Baixo Risco'
